Da Ballare,You make me so happy ,Alfa
Da Ballare,Il piu' grande spettacolo dopo il big bang ,Jovanotti
Da Ballare,Titanium ,David Guetta
Da Ballare,The nights ,Avicii
Da Ballare,Dove si Balla,Dargen D'Amico
Da Ballare,The Ketchup Song,Las Ketchup
Da Ballare,Believe,Cher
Da Ballare,Moi... Lolita,Alizee
Da Ballare,Let's get loud,Jennifer Lopez
Da Ballare,Tienate',Nu Genea
Da Ballare,YMCA,Village People
Romantiche,High ,Lighthouse Family
Romantiche,The Sun is Up forever,Joesef
Da Cantare,Ma il cielo e' sempre piu' blu ,Italian Allstar 4 life
Da Cantare,Estate,Negramaro
Da Cantare,Sesso Occasionale,Tananai
Da Cantare,Una su un 1000000,Alex Britti
Da Cantare,Tuttecose,Gazzelle
Da Cantare,Riccione,The Giornalisti
Da Cantare,Supereroi,Mr. Rain
Da Cantare,Mary,Gemelli Diversi
Da Cantare,Amore Disperato,Nada
